web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505988-11479,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,"Departamento en Renta, en Juriquilla, Querétaro","$17,000",2,"2
                                    
                                
                                Baños",90 m²
1620506014-11581,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,DEPARTAMENTO DE LUJO EN RENTA UBICADO EN JURIQUILLA,"$27,000",3,"3
                                    
                                
                                Baños",200 m²
1620505636-10614,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"Departamento amueblado en renta, Centro Sur","$20,000",2,"2
                                    
                                
                                Baños",162 m²
1620505780-10951,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Exclusivo departamento en Renta en el Centro de QRO,"$13,000",1,"1
                                    
                                
                                Baño",55 m²
1620505636-10599,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"DEPARTAMENTO EN RENTA EN CENTRO SUR, KOLORIA","$20,000",3,"2
                                    
                                
                                Baños",110 m²
1620505796-10981,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Departamento en renta por la zona de El Mirador OFP 20 1961,"$15,000",2,"2
                                    
                                
                                Baños",85 m²
1620505853-11119,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,PentHouse en renta amoblado con todos los servicios incluidos en Milenio YCC,"$27,000",3,"3
                                    
                                
                                Baños",246 m²
1620505836-11073,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTA DEPARTAMENTO AMUEBLADO,"$20,000",2,"2
                                    
                                
                                Baños",120 m²
1620505817-11021,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,Penthouse en Milenio III amueblado de 3 dormitorios y 246 mts2! RAHQRO,"$27,000",3,"3
                                    
                                
                                Baños",246 m²
1620505796-10975,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,RENTA DEPARTAMENTO AMUEBLADO EN EL MIRADOR,"$9,000",1,"1
                                    
                                
                                Baño",70 m²
1620505997-11514,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,"$22,000",2,"2
                                    
                                
                                Baños",125 m²
1620505660-10652,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,DEPARTAMENTO CON ACABADOS DE LUJO CON INCREIBLE VISTA A LA CIUDAD,"$15,700",2,"2
                                    
                                
                                Baños",97 m²
